TIME (HH:MM:SS),DATE (MM/DD/YYYY),SPCOND uS/CM,ODO % SAT,ODO MG/L,PH,TEMP C
3:34:01 AM,7/20/2024,80.8,81.2,7.09,7.23,22.111
3:29:01 AM,7/20/2024,80.8,81.5,7.11,7.23,22.119
3:24:01 AM,7/20/2024,80.8,81.7,7.12,7.23,22.126
3:19:01 AM,7/20/2024,80.8,81.7,7.13,7.24,22.128
3:14:01 AM,7/20/2024,80.9,81.6,7.12,7.24,22.141
3:09:01 AM,7/20/2024,80.8,82.1,7.16,7.24,22.159
3:04:01 AM,7/20/2024,80.9,82,7.15,7.24,22.159
2:59:01 AM,7/20/2024,80.8,82.3,7.17,7.24,22.163
2:54:01 AM,7/20/2024,80.8,82.4,7.18,7.24,22.158
2:49:01 AM,7/20/2024,80.9,82.4,7.18,7.24,22.181
2:44:01 AM,7/20/2024,80.8,82.3,7.17,7.24,22.184
2:39:01 AM,7/20/2024,80.8,82.8,7.21,7.25,22.174
2:34:01 AM,7/20/2024,80.8,82.5,7.19,7.24,22.194
2:29:01 AM,7/20/2024,80.8,83,7.23,7.25,22.202
2:24:01 AM,7/20/2024,80.8,83.1,7.24,7.25,22.208
2:19:01 AM,7/20/2024,80.8,83.3,7.25,7.26,22.215
2:14:01 AM,7/20/2024,80.8,83.4,7.26,7.26,22.227
2:09:01 AM,7/20/2024,80.8,83.6,7.28,7.26,22.229
2:04:01 AM,7/20/2024,80.8,83.9,7.31,7.27,22.22
1:59:01 AM,7/20/2024,80.8,84,7.31,7.27,22.248
1:54:01 AM,7/20/2024,80.8,84.3,7.34,7.27,22.255
1:49:01 AM,7/20/2024,80.8,84.4,7.35,7.28,22.261
1:44:01 AM,7/20/2024,80.8,84.7,7.37,7.28,22.26
1:39:01 AM,7/20/2024,80.8,85.2,7.41,7.29,22.263
1:34:01 AM,7/20/2024,80.8,85.4,7.43,7.3,22.273
1:29:01 AM,7/20/2024,80.8,85.4,7.43,7.3,22.271
1:24:01 AM,7/20/2024,80.8,85.6,7.45,7.3,22.276
1:19:01 AM,7/20/2024,80.8,85.9,7.47,7.31,22.286
1:14:01 AM,7/20/2024,80.8,86.2,7.49,7.31,22.289
1:09:01 AM,7/20/2024,80.8,86.4,7.51,7.31,22.303
1:04:01 AM,7/20/2024,80.8,86.4,7.51,7.31,22.311
12:59:01 AM,7/20/2024,80.8,86.4,7.51,7.31,22.312
12:54:01 AM,7/20/2024,80.8,86.4,7.51,7.3,22.322
12:49:01 AM,7/20/2024,80.8,87,7.55,7.32,22.334
12:44:01 AM,7/20/2024,80.7,87.1,7.56,7.32,22.345
12:39:01 AM,7/20/2024,80.7,87.3,7.58,7.33,22.352
12:34:01 AM,7/20/2024,80.7,87.5,7.6,7.33,22.365
12:29:01 AM,7/20/2024,80.8,87.5,7.59,7.33,22.352
12:24:01 AM,7/20/2024,80.7,87.6,7.6,7.33,22.373
12:19:01 AM,7/20/2024,80.7,87.9,7.63,7.33,22.377
12:14:01 AM,7/20/2024,80.7,88,7.64,7.34,22.385
12:09:01 AM,7/20/2024,80.7,88.1,7.65,7.34,22.367
12:04:01 AM,7/20/2024,80.7,88.2,7.65,7.34,22.389
11:59:01 PM,7/19/2024,80.7,88.2,7.65,7.35,22.401
11:54:01 PM,7/19/2024,80.7,88.3,7.66,7.34,22.413
11:49:01 PM,7/19/2024,80.7,88.1,7.64,7.34,22.422
11:44:01 PM,7/19/2024,80.8,88.4,7.67,7.35,22.427
11:39:01 PM,7/19/2024,80.7,88.4,7.66,7.36,22.436
11:34:01 PM,7/19/2024,80.7,88.2,7.64,7.34,22.439
11:29:01 PM,7/19/2024,80.7,88.4,7.66,7.35,22.45
11:24:01 PM,7/19/2024,80.7,88.5,7.67,7.36,22.462
11:19:01 PM,7/19/2024,80.7,89,7.71,7.36,22.468
11:14:01 PM,7/19/2024,80.7,88.7,7.68,7.35,22.466
11:09:01 PM,7/19/2024,80.7,89.3,7.74,7.36,22.48
11:04:01 PM,7/19/2024,80.7,89.5,7.75,7.36,22.47
10:59:01 PM,7/19/2024,80.7,89.7,7.77,7.37,22.49
10:54:01 PM,7/19/2024,80.7,89.7,7.77,7.38,22.488
10:49:01 PM,7/19/2024,80.7,89.8,7.77,7.37,22.499
10:44:01 PM,7/19/2024,80.7,89.9,7.79,7.37,22.503
10:39:01 PM,7/19/2024,80.7,90.2,7.81,7.38,22.508
10:34:01 PM,7/19/2024,80.7,90.2,7.81,7.38,22.519
10:29:01 PM,7/19/2024,80.7,90.2,7.8,7.38,22.514
10:24:01 PM,7/19/2024,80.8,90.5,7.84,7.4,22.525
10:19:01 PM,7/19/2024,80.8,90.6,7.84,7.4,22.535
10:14:01 PM,7/19/2024,80.7,90.8,7.86,7.4,22.54
10:09:01 PM,7/19/2024,80.8,91,7.88,7.41,22.529
10:04:01 PM,7/19/2024,80.7,91.4,7.91,7.42,22.545
9:59:01 PM,7/19/2024,80.7,91.5,7.92,7.41,22.554
9:54:01 PM,7/19/2024,80.8,91.6,7.92,7.42,22.568
9:49:01 PM,7/19/2024,80.7,91.5,7.91,7.41,22.577
9:44:01 PM,7/19/2024,80.7,91.8,7.93,7.42,22.582
9:39:01 PM,7/19/2024,80.7,92,7.96,7.43,22.58
9:34:01 PM,7/19/2024,80.7,92.2,7.97,7.43,22.584
9:29:01 PM,7/19/2024,80.7,92.5,7.99,7.44,22.59
9:24:01 PM,7/19/2024,80.7,92.6,8,7.44,22.6
9:19:01 PM,7/19/2024,80.7,92.7,8.02,7.43,22.604
9:14:01 PM,7/19/2024,80.5,93.1,8.04,7.44,22.606
9:09:01 PM,7/19/2024,80.5,93,8.03,7.45,22.618
9:04:01 PM,7/19/2024,80.4,93.2,8.06,7.45,22.619
8:59:01 PM,7/19/2024,80.4,92.9,8.03,7.45,22.635
8:54:01 PM,7/19/2024,80.4,93.7,8.09,7.47,22.638
8:49:01 PM,7/19/2024,80.4,94.2,8.13,7.49,22.64
8:44:01 PM,7/19/2024,80.4,94.3,8.14,7.49,22.653
8:39:01 PM,7/19/2024,80.3,94.5,8.16,7.49,22.663
8:34:01 PM,7/19/2024,80.5,94.6,8.17,7.49,22.664
8:29:01 PM,7/19/2024,80.6,94.8,8.18,7.49,22.681
8:24:01 PM,7/19/2024,80.7,94.7,8.17,7.48,22.693
8:19:01 PM,7/19/2024,79.4,94.9,8.19,7.49,22.7
8:14:01 PM,7/19/2024,78.9,95,8.19,7.49,22.706
8:09:01 PM,7/19/2024,78.9,95,8.19,7.49,22.716
8:04:01 PM,7/19/2024,79,95.2,8.21,7.49,22.719
7:59:01 PM,7/19/2024,78.8,95.3,8.22,7.49,22.724
7:54:01 PM,7/19/2024,78.9,95.3,8.22,7.5,22.733
7:49:01 PM,7/19/2024,78.5,95.5,8.23,7.5,22.739
7:44:01 PM,7/19/2024,78.5,95.6,8.24,7.51,22.74
7:39:01 PM,7/19/2024,78.5,95.9,8.26,7.51,22.751
7:34:01 PM,7/19/2024,78.7,96.2,8.29,7.52,22.751
7:29:01 PM,7/19/2024,78.8,95.8,8.25,7.5,22.79
7:24:01 PM,7/19/2024,79,95.8,8.25,7.52,22.779
7:19:01 PM,7/19/2024,80.7,96,8.27,7.52,22.777
7:14:01 PM,7/19/2024,80.7,96.3,8.29,7.52,22.78
7:09:01 PM,7/19/2024,79.7,96.2,8.29,7.52,22.793
7:04:01 PM,7/19/2024,79.3,96.3,8.29,7.51,22.804
6:59:01 PM,7/19/2024,79.3,96.9,8.34,7.53,22.805
6:54:01 PM,7/19/2024,79.3,96.7,8.32,7.53,22.814
6:49:01 PM,7/19/2024,80,96.8,8.33,7.53,22.833
6:44:01 PM,7/19/2024,79.1,97,8.35,7.54,22.84
6:39:01 PM,7/19/2024,78.6,97.4,8.38,7.55,22.844
6:34:01 PM,7/19/2024,78.8,97.8,8.42,7.57,22.852
6:29:01 PM,7/19/2024,78.9,98.2,8.45,7.58,22.853
6:24:01 PM,7/19/2024,78.7,98.4,8.46,7.57,22.862
6:19:01 PM,7/19/2024,78.7,98.9,8.5,7.6,22.869
6:14:01 PM,7/19/2024,79,99.3,8.54,7.61,22.871
6:09:01 PM,7/19/2024,79.2,99.9,8.59,7.62,22.875
6:04:01 PM,7/19/2024,79.2,100.1,8.61,7.63,22.885
5:59:01 PM,7/19/2024,79.3,100.3,8.62,7.64,22.892
5:54:01 PM,7/19/2024,79.1,100.5,8.64,7.64,22.903
5:49:01 PM,7/19/2024,79.4,100.7,8.65,7.64,22.909
5:44:01 PM,7/19/2024,80,100.8,8.66,7.64,22.923
5:39:01 PM,7/19/2024,76.8,101,8.67,7.65,22.935
5:34:01 PM,7/19/2024,80.8,101.1,8.68,7.65,22.95
5:29:01 PM,7/19/2024,80.7,101.4,8.7,7.66,22.957
5:24:01 PM,7/19/2024,80.6,101.5,8.71,7.66,22.976
5:19:01 PM,7/19/2024,80.7,101.2,8.69,7.65,22.969
5:14:01 PM,7/19/2024,80.7,101.5,8.71,7.66,22.984
5:09:01 PM,7/19/2024,80.7,102,8.75,7.68,23.013
5:04:01 PM,7/19/2024,80.8,102.1,8.75,7.68,23.02
4:59:01 PM,7/19/2024,80.8,102.1,8.75,7.67,23.029
4:54:01 PM,7/19/2024,80.8,102.2,8.76,7.68,23.039
4:49:01 PM,7/19/2024,80.8,102.3,8.77,7.68,23.053
4:44:01 PM,7/19/2024,80.8,102.4,8.78,7.68,23.057
4:39:01 PM,7/19/2024,80.8,102.5,8.78,7.69,23.062
4:34:01 PM,7/19/2024,80.8,102.4,8.77,7.68,23.061
4:29:01 PM,7/19/2024,80.8,102.6,8.79,7.69,23.072
4:24:01 PM,7/19/2024,80.8,102.4,8.77,7.68,23.078
4:19:01 PM,7/19/2024,80.8,102.7,8.79,7.69,23.085
4:14:01 PM,7/19/2024,80.8,102.7,8.79,7.68,23.097
4:09:01 PM,7/19/2024,80.8,102.8,8.8,7.68,23.103
4:04:01 PM,7/19/2024,80.8,102.6,8.78,7.67,23.097
3:59:01 PM,7/19/2024,80.8,102.5,8.77,7.67,23.11
3:54:01 PM,7/19/2024,80.8,102.9,8.8,7.69,23.134
3:49:01 PM,7/19/2024,80.8,102.5,8.77,7.67,23.12
3:44:01 PM,7/19/2024,80.8,102.4,8.76,7.66,23.132
3:39:01 PM,7/19/2024,80.8,103,8.81,7.69,23.153
3:34:01 PM,7/19/2024,80.8,102.3,8.76,7.66,23.116
3:29:01 PM,7/19/2024,80.8,102.4,8.76,7.67,23.118
3:24:01 PM,7/19/2024,80.8,102.9,8.8,7.68,23.133
3:19:01 PM,7/19/2024,80.8,103.1,8.82,7.68,23.139
3:14:01 PM,7/19/2024,80.8,102.6,8.78,7.67,23.13
3:09:01 PM,7/19/2024,80.8,102.5,8.77,7.66,23.124
3:04:01 PM,7/19/2024,80.8,102,8.73,7.65,23.106
2:59:01 PM,7/19/2024,80.8,102.2,8.75,7.66,23.119
2:54:01 PM,7/19/2024,80.8,102,8.72,7.66,23.123
2:49:01 PM,7/19/2024,80.8,101.4,8.69,7.63,23.069
2:44:01 PM,7/19/2024,80.8,101.2,8.67,7.63,23.074
2:39:01 PM,7/19/2024,80.8,101.4,8.68,7.64,23.094
2:34:01 PM,7/19/2024,80.8,100.5,8.62,7.61,23.006
2:29:01 PM,7/19/2024,80.8,100.4,8.61,7.6,23.02
2:24:01 PM,7/19/2024,80.8,100.1,8.59,7.6,22.974
2:19:01 PM,7/19/2024,80.8,99.4,8.54,7.57,22.906
2:14:01 PM,7/19/2024,80.8,99.7,8.57,7.58,22.908
2:09:01 PM,7/19/2024,80.8,99.2,8.53,7.57,22.85
2:04:01 PM,7/19/2024,80.8,98.8,8.5,7.55,22.842
1:59:01 PM,7/19/2024,80.8,98.1,8.45,7.54,22.754
1:54:01 PM,7/19/2024,80.7,98.7,8.49,7.56,22.813
1:49:01 PM,7/19/2024,80.7,98.4,8.48,7.56,22.751
1:44:01 PM,7/19/2024,80.7,97.9,8.44,7.54,22.724
1:39:01 PM,7/19/2024,80.8,97.6,8.42,7.54,22.686
1:34:01 PM,7/19/2024,80.8,96.1,8.3,7.51,22.62
1:29:01 PM,7/19/2024,80.7,97.1,8.39,7.51,22.63
1:24:01 PM,7/19/2024,80.7,97.4,8.41,7.53,22.639
1:19:01 PM,7/19/2024,80.7,96.2,8.32,7.51,22.574
1:14:01 PM,7/19/2024,80.7,96,8.31,7.5,22.551
1:09:01 PM,7/19/2024,80.7,96.5,8.35,7.5,22.567
1:04:01 PM,7/19/2024,80.7,95.9,8.3,7.49,22.533
12:59:01 PM,7/19/2024,80.7,95.2,8.24,7.48,22.497
12:54:01 PM,7/19/2024,80.7,94.9,8.22,7.46,22.494
12:49:01 PM,7/19/2024,80.7,94.9,8.21,7.46,22.5
12:44:01 PM,7/19/2024,80.7,94.9,8.22,7.47,22.484
12:39:01 PM,7/19/2024,80.7,94.7,8.21,7.47,22.468
12:34:01 PM,7/19/2024,80.6,94.7,8.2,7.46,22.464
12:29:01 PM,7/19/2024,80.7,94.5,8.19,7.45,22.452
12:24:01 PM,7/19/2024,80.7,93.6,8.12,7.44,22.417
12:19:01 PM,7/19/2024,80.7,93.6,8.11,7.44,22.414
12:14:01 PM,7/19/2024,80.7,93.1,8.08,7.43,22.39
12:09:01 PM,7/19/2024,80.6,93.1,8.08,7.43,22.39
12:04:01 PM,7/19/2024,80.6,92.7,8.04,7.42,22.385
11:59:01 AM,7/19/2024,80.7,92.5,8.03,7.42,22.357
11:54:01 AM,7/19/2024,80.7,91.8,7.98,7.41,22.328
11:49:01 AM,7/19/2024,80.7,91.7,7.97,7.4,22.334
11:44:01 AM,7/19/2024,80.6,91.5,7.95,7.39,22.324
11:39:01 AM,7/19/2024,80.7,91,7.91,7.38,22.295
11:34:01 AM,7/19/2024,80.6,91.1,7.92,7.39,22.311
11:29:01 AM,7/19/2024,80.6,90.9,7.9,7.38,22.313
11:24:01 AM,7/19/2024,80.6,90.5,7.87,7.38,22.288
11:19:01 AM,7/19/2024,80.6,90.7,7.89,7.38,22.296
11:14:01 AM,7/19/2024,80.6,90.6,7.88,7.37,22.287
11:09:01 AM,7/19/2024,80.6,90,7.82,7.37,22.271
11:04:01 AM,7/19/2024,80.6,90.5,7.87,7.37,22.29
10:59:01 AM,7/19/2024,80.6,89.9,7.82,7.36,22.268
10:54:01 AM,7/19/2024,80.6,89.7,7.8,7.35,22.263
10:49:01 AM,7/19/2024,80.6,89.6,7.8,7.35,22.261
10:44:01 AM,7/19/2024,80.6,89.5,7.78,7.35,22.26
10:39:01 AM,7/19/2024,80.6,89.5,7.78,7.35,22.266
10:34:01 AM,7/19/2024,80.6,88.8,7.73,7.34,22.263
10:29:01 AM,7/19/2024,80.6,88.6,7.71,7.34,22.246
10:24:01 AM,7/19/2024,80.6,88.6,7.71,7.34,22.257
10:19:01 AM,7/19/2024,80.6,88.5,7.7,7.33,22.257
10:14:01 AM,7/19/2024,80.6,88.1,7.68,7.34,22.194
10:09:01 AM,7/19/2024,80.6,88,7.67,7.34,22.187
10:04:01 AM,7/19/2024,80.6,87.4,7.61,7.33,22.157
9:59:01 AM,7/19/2024,80.6,88.3,7.7,7.34,22.144
9:54:01 AM,7/19/2024,80.6,88.2,7.69,7.34,22.138
9:49:01 AM,7/19/2024,80.5,88.1,7.68,7.34,22.137
9:44:01 AM,7/19/2024,80.5,88.1,7.69,7.34,22.117
9:39:01 AM,7/19/2024,80.5,87.7,7.64,7.32,22.14
9:34:01 AM,7/19/2024,80.5,87.5,7.64,7.33,22.106
9:29:01 AM,7/19/2024,80.5,87.6,7.64,7.33,22.103
9:24:01 AM,7/19/2024,80.5,87.4,7.63,7.33,22.05
9:19:01 AM,7/19/2024,80.5,87,7.6,7.33,22.029
9:14:01 AM,7/19/2024,80.5,86.7,7.58,7.32,22.019
9:09:01 AM,7/19/2024,80.5,85.4,7.47,7.31,21.983
9:04:01 AM,7/19/2024,80.5,84.9,7.43,7.29,21.992
8:59:01 AM,7/19/2024,80.5,85.2,7.45,7.29,21.994
8:54:01 AM,7/19/2024,80.5,85.6,7.48,7.31,21.996
8:49:01 AM,7/19/2024,80.5,85.6,7.48,7.3,21.992
8:44:01 AM,7/19/2024,80.4,84.9,7.43,7.28,21.973
8:39:01 AM,7/19/2024,80.5,85.2,7.45,7.3,21.972
8:34:01 AM,7/19/2024,80.5,85.4,7.47,7.3,21.969
8:29:01 AM,7/19/2024,80.5,84.6,7.4,7.29,21.968
8:24:01 AM,7/19/2024,80.5,84.8,7.41,7.3,21.971
8:19:01 AM,7/19/2024,80.5,85,7.44,7.3,21.958
8:14:01 AM,7/19/2024,80.5,84.6,7.4,7.29,21.975
8:09:01 AM,7/19/2024,80.5,85.5,7.48,7.32,21.968
8:04:01 AM,7/19/2024,80.5,85.7,7.49,7.32,21.965
7:59:01 AM,7/19/2024,80.4,86.1,7.54,7.33,21.96
7:54:01 AM,7/19/2024,80.5,86.2,7.55,7.33,21.956
7:49:01 AM,7/19/2024,80.4,86.1,7.53,7.33,21.961
7:44:01 AM,7/19/2024,80.5,86.2,7.54,7.32,21.96
7:39:01 AM,7/19/2024,80.5,85.9,7.52,7.33,21.965
7:34:01 AM,7/19/2024,80.5,86.1,7.53,7.33,21.962
7:29:01 AM,7/19/2024,80.4,86.2,7.54,7.33,21.961
7:24:01 AM,7/19/2024,80.5,86.4,7.56,7.33,21.963
7:19:01 AM,7/19/2024,80.5,86.5,7.57,7.34,21.961
7:14:01 AM,7/19/2024,80.4,86.5,7.57,7.34,21.958
7:09:01 AM,7/19/2024,80.5,86.5,7.57,7.34,21.96
7:04:01 AM,7/19/2024,80.4,86.5,7.57,7.33,21.963
6:59:01 AM,7/19/2024,80.4,86.5,7.57,7.34,21.954
6:54:01 AM,7/19/2024,80.4,86.7,7.58,7.34,21.971
6:49:01 AM,7/19/2024,80.4,87.1,7.62,7.35,21.967
6:44:01 AM,7/19/2024,80.4,87.1,7.62,7.35,21.969
6:39:01 AM,7/19/2024,80.4,87.1,7.62,7.35,21.978
6:34:01 AM,7/19/2024,80.4,87.2,7.63,7.36,21.972
6:29:01 AM,7/19/2024,80.4,87.2,7.62,7.35,22.005
6:24:01 AM,7/19/2024,80.4,87.5,7.65,7.36,21.997
6:19:01 AM,7/19/2024,80.4,87.2,7.62,7.35,22.017
6:14:01 AM,7/19/2024,80.4,87.1,7.61,7.35,22.036
6:09:01 AM,7/19/2024,80.4,87.3,7.63,7.35,22.032
6:04:01 AM,7/19/2024,80.4,87,7.6,7.35,22.05
5:59:01 AM,7/19/2024,80.4,87.3,7.62,7.34,22.05
5:54:01 AM,7/19/2024,80.5,87.1,7.6,7.35,22.065
5:49:01 AM,7/19/2024,80.4,88.4,7.72,7.38,22.031
5:44:01 AM,7/19/2024,80.5,88.5,7.73,7.39,22.02
5:39:01 AM,7/19/2024,80.4,88.6,7.74,7.4,22.031
5:34:01 AM,7/19/2024,80.5,88.9,7.77,7.4,22.038
5:29:01 AM,7/19/2024,80.7,89,7.78,7.4,22.042
5:24:01 AM,7/19/2024,80.5,89,7.77,7.4,22.044
5:19:01 AM,7/19/2024,80.5,89.1,7.78,7.4,22.048
5:14:01 AM,7/19/2024,80.5,88.9,7.76,7.4,22.056
5:09:01 AM,7/19/2024,80.4,89,7.77,7.4,22.064
5:04:01 AM,7/19/2024,80.4,89.4,7.81,7.41,22.067
4:59:01 AM,7/19/2024,80.4,89.5,7.81,7.41,22.074
4:54:01 AM,7/19/2024,80.4,89.6,7.82,7.41,22.082
4:49:01 AM,7/19/2024,80.4,89.8,7.83,7.42,22.086
4:44:01 AM,7/19/2024,80.4,90,7.85,7.43,22.088
4:39:01 AM,7/19/2024,80.4,90.4,7.89,7.44,22.093
4:34:01 AM,7/19/2024,80.4,90.6,7.9,7.44,22.097
4:29:01 AM,7/19/2024,80.4,90.4,7.88,7.44,22.104
4:24:01 AM,7/19/2024,80.4,90.7,7.91,7.44,22.116
4:19:01 AM,7/19/2024,80.4,91.1,7.94,7.45,22.111
4:14:01 AM,7/19/2024,80.4,90.8,7.92,7.44,22.131
4:09:01 AM,7/19/2024,80.4,90.9,7.93,7.44,22.131
4:04:01 AM,7/19/2024,80.4,91.4,7.97,7.46,22.14
3:59:01 AM,7/19/2024,80.4,91.9,8.01,7.46,22.154
3:54:01 AM,7/19/2024,80.4,92.3,8.04,7.47,22.159
3:49:01 AM,7/19/2024,80.3,92.6,8.07,7.49,22.16
3:44:01 AM,7/19/2024,80.4,93.1,8.11,7.48,22.153
3:39:01 AM,7/19/2024,80.4,93.1,8.12,7.49,22.163
3:34:01 AM,7/19/2024,80.4,93.2,8.13,7.5,22.165
3:29:01 AM,7/19/2024,80.4,93.5,8.15,7.49,22.162
3:24:01 AM,7/19/2024,80.4,93.5,8.15,7.5,22.167
3:19:01 AM,7/19/2024,80.4,93.6,8.15,7.51,22.185
3:14:01 AM,7/19/2024,80.4,93.7,8.16,7.51,22.191
3:09:01 AM,7/19/2024,80.4,93.8,8.17,7.51,22.2
3:04:01 AM,7/19/2024,80.4,93.9,8.18,7.51,22.202
2:59:01 AM,7/19/2024,80.4,94.1,8.2,7.52,22.21
2:54:01 AM,7/19/2024,80.4,94.1,8.19,7.51,22.216
2:49:01 AM,7/19/2024,80.4,94.2,8.2,7.52,22.225
2:44:01 AM,7/19/2024,80.4,94.2,8.2,7.52,22.226
2:39:01 AM,7/19/2024,80.4,94.9,8.26,7.53,22.226
2:34:01 AM,7/19/2024,80.4,94.6,8.23,7.52,22.239
2:29:01 AM,7/19/2024,80.4,94.8,8.25,7.52,22.245
2:24:01 AM,7/19/2024,80.4,94.8,8.25,7.53,22.248
2:19:01 AM,7/19/2024,80.4,95.3,8.3,7.54,22.242
2:14:01 AM,7/19/2024,80.4,95,8.27,7.52,22.263
2:09:01 AM,7/19/2024,80.4,95.2,8.28,7.53,22.264
2:04:01 AM,7/19/2024,80.4,94.7,8.23,7.5,22.277
1:59:01 AM,7/19/2024,80.4,94.4,8.21,7.49,22.273
